title,sentiment,reason
"고연봉 대기업 노조 잇단 '성과급 몽니'… 경영참여 요구까지 [재계 위...]","Negative","노사 갈등 및 산업 리스크 부각"
"국내 증시 '시총 6천조' 시대…'1조 클럽' 사상 첫 400곳 돌파","Positive","시장 규모 확대 및 성장세"
"증시 시총 6000조… 1조 클럽도 400곳","Positive","증시 활황 및 기업 가치 상승"
"[기획] “나만 잘 살면 돼”… 산업 흔드는 노조 이기주의","Negative","노조 관련 부정적 여론"
"\"\"韓 필수 동맹국\"\" 콕 찍은 빅테크 수장들… 1년새 7명 방문","Positive","글로벌 전략적 파트너십 강화"
"하이테크로 질주… ‘K 레이싱 시대’","Positive","첨단 기술력 및 브랜드 이미지 제고"
"에이피알, 타임지 선정 ‘세계 영향력 있는 100대 기업’...국내 기...","Neutral","타사 사례이나 국내 기업 위상 강화"
"장원영 앞세우더니 일냈다…'한국서 유일' 반응 터진 기업","Neutral","타사 마케팅 성공 사례"
"현대차그룹, 美서 '최고의 하이브리드·전기차' 7관왕","Positive","글로벌 기술 경쟁력 입증 (매우 긍정)"
"현대차그룹, US뉴스 ‘하이브리드·전기차 어워즈’ 7개부문 수상","Positive","공신력 있는 수상 실적"
