title,sentiment,reason
"고영, 어닝서프라이즈에 '上'…바이젠셀·툴젠도 상승세[바이오맥짚기...]","Positive","어닝 서프라이즈로 인한 주가 상한가 및 긍정적 흐름"
"코스닥서 반도체 소부장 담는 외국인…주가도 '훨훨'","Positive","외국인 매수세 유입 및 주가 상승"
"‘반도체·소부장’의 힘…코스닥, 25년여만에 최고치 찍었다","Positive","업종 전반의 호황 및 시장 지표 최고치 경신"
"조용히 달린 코스닥, 25년 만에 1200선 뚫어…""소부장·바이오의 ...","Positive","코스닥 지수 상승 견인 및 업종 성장성 확인"
"[속보] 코스닥지수 1200선 돌파 마감…‘닷컴버블’ 이후 약 25년 ...","Positive","지수 1200선 돌파라는 상징적 쾌거"
"고영테크놀러지 1분기 매출 727억원…전년 대비 42% 증가","Positive","두 자릿수 매출 성장률 달성"
"고영테크놀러지, ‘AI 훈풍’에 깜짝 실적…1분기 매출 ""역대 최대""","Positive","역대 최대 매출 경신 및 AI 산업 수혜 입증"
"고영 1분기 영업이익 99억원…작년동기 대비 209.1%↑","Positive","영업이익 세 배 이상 급증 (실적 개선 가시화)"
"“반도체주 단기 소강상태 진입할 것…낙수효과 기대 업종은”","Neutral","단기적 조정 우려와 장기적 낙수효과 기대 공존"
"고영, AI로봇 주력…배당성향 20% 목표","Positive","신사업(AI로봇) 비전 및 적극적 주주 환원 정책"
